Source,Target
I,Gatsby
I,Tom
I,Tom
I,Daisy
I,Tom
I,Jordan
I,Daisy
I,Daisy
I,Tom
I,Jordan
I,Jordan
I,Jordan
I,Jordan
I,Gatsby
I,Daisy
I,Daisy
I,Tom
I,Gatsby
I,Gatsby
I,Jordan
I,Gatsby
I,Daisy
I,Daisy
I,Daisy
I,Gatsby
I,Gatsby
I,Gatsby
I,Gatsby
I,Cody
I,Daisy
I,Jordan
I,Gatsby
I,Gatsby
I,Gatsby
I,Gatsby
I,Gatsby
I,Daisy
I,Gatsby
I,Gatsby
I,Gatsby
I,Gatsby
I,Mr. Gatz
I,Mr. Gatz
I,Gatsby
I,Jordan
I,Jordan
I,Tom
Gatsby,I
Gatsby,I
Gatsby,I
Gatsby,I
Gatsby,I
Gatsby,I
Gatsby,I
Gatsby,I
Gatsby,I
Gatsby,Daisy
Gatsby,I
Gatsby,I
Gatsby,Daisy
Gatsby,I
Gatsby,Tom
Gatsby,Daisy
Gatsby,Daisy
Gatsby,Meyer Wolfsheim
Gatsby,Daisy
Gatsby,Daisy
Gatsby,Daisy
Gatsby,Daisy
Gatsby,Daisy
Gatsby,Daisy
Gatsby,Daisy
Gatsby,I
Daisy,I
Daisy,Myrtle
Daisy,I
Daisy,I
Daisy,Tom
Daisy,Tom
Daisy,Gatsby
Daisy,I
Daisy,Gatsby
Daisy,Gatsby
Daisy,Gatsby
Daisy,Gatsby
Daisy,Tom
Daisy,Gatsby
Daisy,Gatsby
Daisy,Gatsby
Daisy,Gatsby
Daisy,Gatsby
Daisy,Gatsby
Daisy,Gatsby
Daisy,Tom
Daisy,Tom
Tom,I
Tom,I
Tom,Jordan
Tom,Daisy
Tom,I
Tom,Myrtle
Tom,Daisy
Tom,Gatsby
Tom,Jordan
Tom,Gatsby
Tom,Myrtle
Tom,Gatsby
Tom,Gatsby
Tom,Myrtle
Tom,Myrtle
Tom,Myrtle
Tom,I
Jordan,I
Jordan,Daisy
Jordan,I
Jordan,I
Myrtle,Tom
Wilson,Tom
Michaelis,Wilson
Michaelis,Wilson
Michaelis,Myrtle
Michaelis,God
Catherine,I
Myrtle,Catherine
Meyer Wolfsheim,I
Mr. McKee,I
Mr. McKee,Myrtle
Mr. Gatz,I
Mrs. McKee,Chester
Tom,Jordan
Walter,Tom
Ella Kaye,Cody
Finn,I
